State,2014,2015,2016,2017,2018
United States,32,32.5,33.4,34.2,35
Alabama,31.6,31.7,32.8,33.7,25.5
Alaska,23.5,24.2,24.7,25.5,30.2
Arizona,36.8,36.9,36.4,38.7,29.7
Arkansas,25.3,27.5,28.9,27.3,23.3
California,27.2,28.4,28.6,29.7,34.2
Colorado,26.5,26.5,27.2,27.1,41.7
Connecticut,31.1,31.4,31.9,32.9,39.6
Delaware,27.8,25.7,26.1,29.6,31.3
Florida,33.1,37,38.1,35.5,30.4
Georgia,37.4,37.6,38.6,39.7,31.9
Hawaii,34.5,35,35.7,36,33.5
Idaho,32.8,32.9,34,34.4,27.7
Illinois,28.9,29.7,30.8,31.4,35.1
Indiana,27.4,29.1,29.6,30.7,27.1
Iowa,30.4,24.8,25.3,33.5,29
Kansas,21,20.8,21.8,21.9,33.8
Kentucky,26.7,26.8,27.5,28,24.8
Louisiana,24.1,24.6,25.2,25.5,24.3
Maine,28,29.7,29.6,28.8,31.5
Maryland,24.6,24.9,25.6,26.8,40.8
Massachusetts,19.2,34.2,35.1,20.2,44.5
Michigan,38.4,39.2,39.9,41.2,29.6
Minnesota,31.1,28.4,28.9,34.6,36.7
Mississippi,29,29.9,30.5,30.9,23.2
Missouri,21.3,21.8,22.4,23.4,29.5
Montana,34.9,31.8,32.6,38.3,31.7
Nebraska,38,38.3,38.6,38.7,32.4
Nevada,29.4,30.1,30.1,32.1,24.7
New Hampshire,26.3,32.7,34.1,28,36.8
New Jersey,29.5,30.2,31.4,31.7,40.8
New Mexico,27.6,26.8,28.4,28.9,27.7
New York,24.5,26.2,27.1,25.7,37.2
North Carolina,27.6,27.7,28.9,29.4,31.9
North Dakota,29.3,30.6,31,32.3,29.7
Ohio,23.1,23.6,23.5,24.9,29
Oklahoma,41.2,41.5,42.7,43.4,25.6
Oregon,30.6,30.9,31,31.5,34
Pennsylvania,31.8,32.3,32.9,33.6,31.8
Rhode Island,27.8,26.8,27.2,28.1,34.4
South Carolina,35,35.7,36.6,36.9,28.3
South Dakota,28.7,29.4,30.4,31.3,29.2
Tennessee,22.2,23.3,23.4,24,27.5
Texas,25.1,26,27.6,26.8,30.3
Utah,26.6,28.4,29.5,27.6,34.9
Vermont,23,23.2,23.4,23.8,38.7
Virginia,27.5,27.8,28.5,29.1,39.3
Washington,30.8,32.2,32.7,33.7,36.7
West Virginia,38.2,38.8,39.3,39.7,21.3
Wisconsin,27.3,27.8,28.3,29.1,30
Wyoming,54.9,56.7,56.8,57.3,26.9