state,lat,lon,population
Alaska,63.588753,-154.493062,1
Alabama,32.318231,-86.902298,2
Arkansas,35.20105,-91.831833,3
Arizona,34.048928,-111.093731,4
California,36.778261,-119.417932,5
Colorado,39.550051,-105.782067,6
Connecticut,41.603221,-73.087749,7
District of Columbia,38.905985,-77.033418,8
Delaware,38.910832,-75.52767,9
Florida,27.664827,-81.515754,10
Georgia,32.157435,-82.907123,11
Hawaii,19.898682,-155.665857,12
Iowa,41.878003,-93.097702,13
Idaho,44.068202,-114.742041,14
Illinois,40.633125,-89.398528,15
Indiana,40.551217,-85.602364,16
Kansas,39.011902,-98.484246,17
Kentucky,37.839333,-84.270018,18
Louisiana,31.244823,-92.145024,19
Massachusetts,42.407211,-71.382437,20
Maryland,39.045755,-76.641271,21
Maine,45.253783,-69.445469,22
Michigan,44.314844,-85.602364,23
Minnesota,46.729553,-94.6859,24
Missouri,37.964253,-91.831833,25
Mississippi,32.354668,-89.398528,26
Montana,46.879682,-110.362566,27
North Carolina,35.759573,-79.0193,28
North Dakota,47.551493,-101.002012,29
Nebraska,41.492537,-99.901813,30
New Hampshire,43.193852,-71.572395,31
New Jersey,40.058324,-74.405661,32
New Mexico,34.97273,-105.032363,33
Nevada,38.80261,-116.419389,34
New York,43.299428,-74.217933,35
Ohio,40.417287,-82.907123,36
Oklahoma,35.007752,-97.092877,37
Oregon,43.804133,-120.554201,38
Pennsylvania,41.203322,-77.194525,39
Puerto Rico,18.220833,-66.590149,40
Rhode Island,41.580095,-71.477429,41
South Carolina,33.836081,-81.163725,42
South Dakota,43.969515,-99.901813,43
Tennessee,35.517491,-86.580447,44
Texas,31.968599,-99.901813,45
Utah,39.32098,-111.093731,46
Virginia,37.431573,-78.656894,47
Vermont,44.558803,-72.577841,48
Washington,47.751074,-120.740139,49
Wisconsin,43.78444,-88.787868,50
West Virginia,38.597626,-80.454903,51
Wyoming,43.075968,-107.290284,52